,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4IFC8g0-f3Y,10,0,2,128.0,39.0,167.0,113.0,0,0.5619633197784424
1,4IFC8g0-f3Y,10,0,2,48.0,107.0,223.0,238.0,17,0.4990718960762024
2,4IFC8g0-f3Y,10,0,3,68.0,84.0,243.0,226.0,17,0.6843501925468445
3,4IFC8g0-f3Y,10,0,3,139.0,19.0,195.0,142.0,0,0.6003002524375916
4,4IFC8g0-f3Y,10,0,3,142.0,19.0,176.0,88.0,0,0.41126975417137146
5,4IFC8g0-f3Y,10,0,4,74.0,79.0,217.0,218.0,17,0.5992460250854492
6,4IFC8g0-f3Y,10,0,5,114.0,69.0,253.0,186.0,17,0.7926908731460571
7,4IFC8g0-f3Y,10,0,5,165.0,34.0,206.0,124.0,0,0.7303828597068787
8,4IFC8g0-f3Y,10,0,6,134.0,31.0,173.0,122.0,0,0.7859815359115601
9,4IFC8g0-f3Y,10,0,6,72.0,75.0,205.0,189.0,17,0.7543125748634338
10,4IFC8g0-f3Y,10,0,6,199.0,28.0,230.0,111.0,0,0.42318278551101685
11,4IFC8g0-f3Y,10,0,7,153.0,40.0,191.0,129.0,0,0.7642706036567688
12,4IFC8g0-f3Y,10,0,7,85.0,90.0,225.0,191.0,17,0.7347429990768433
13,4IFC8g0-f3Y,10,0,8,57.0,80.0,215.0,188.0,17,0.6373884081840515
14,4IFC8g0-f3Y,10,0,8,129.0,41.0,162.0,132.0,0,0.6005967259407043
15,4IFC8g0-f3Y,10,0,8,1.0,120.0,44.0,185.0,0,0.454974889755249
16,4IFC8g0-f3Y,10,0,9,136.0,50.0,171.0,126.0,0,0.8169944882392883
17,4IFC8g0-f3Y,10,0,9,73.0,87.0,233.0,179.0,17,0.8072401881217957
18,4IFC8g0-f3Y,10,0,10,152.0,50.0,186.0,122.0,0,0.7896249294281006
19,4IFC8g0-f3Y,10,0,10,94.0,90.0,221.0,177.0,17,0.6331227421760559
20,4IFC8g0-f3Y,10,0,11,82.0,82.0,242.0,186.0,17,0.7750793099403381
21,4IFC8g0-f3Y,10,0,11,143.0,45.0,175.0,127.0,0,0.7691531181335449
22,4IFC8g0-f3Y,10,0,12,84.0,83.0,253.0,199.0,17,0.7690114378929138
23,4IFC8g0-f3Y,10,0,12,147.0,47.0,182.0,127.0,0,0.5721314549446106
24,4IFC8g0-f3Y,10,0,13,86.0,93.0,232.0,208.0,17,0.8477668166160583
25,4IFC8g0-f3Y,10,0,13,133.0,59.0,171.0,156.0,0,0.6799501776695251
26,4IFC8g0-f3Y,10,0,14,82.0,80.0,211.0,212.0,17,0.9087773561477661
27,4IFC8g0-f3Y,10,0,14,122.0,39.0,154.0,139.0,0,0.8089301586151123
28,4IFC8g0-f3Y,10,0,15,58.0,63.0,195.0,232.0,17,0.6226375102996826
29,4IFC8g0-f3Y,10,0,15,95.0,14.0,132.0,134.0,0,0.5649459958076477
30,4IFC8g0-f3Y,10,0,15,168.0,109.0,319.0,216.0,13,0.4017399549484253
31,4IFC8g0-f3Y,10,0,16,38.0,70.0,224.0,230.0,17,0.7531325817108154
