,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4N-kSXoV9PQ,18,0,4,422.0,96.0,457.0,179.0,0,0.5445793867111206
1,4N-kSXoV9PQ,18,0,4,366.0,185.0,480.0,356.0,61,0.45779237151145935
2,4N-kSXoV9PQ,18,0,5,352.0,185.0,392.0,340.0,75,0.5428537726402283
3,4N-kSXoV9PQ,18,0,6,386.0,261.0,480.0,356.0,61,0.5684038400650024
4,4N-kSXoV9PQ,18,0,7,395.0,133.0,480.0,350.0,61,0.6922438740730286
5,4N-kSXoV9PQ,18,0,8,436.0,60.0,465.0,107.0,75,0.6441562175750732
6,4N-kSXoV9PQ,18,0,8,360.0,90.0,479.0,319.0,61,0.588371992111206
7,4N-kSXoV9PQ,18,0,9,430.0,154.0,458.0,201.0,75,0.7640247344970703
8,4N-kSXoV9PQ,18,0,9,354.0,180.0,480.0,359.0,75,0.4945431351661682
9,4N-kSXoV9PQ,18,0,10,350.0,290.0,387.0,345.0,75,0.6078596115112305
10,4N-kSXoV9PQ,18,0,16,0.0,204.0,141.0,354.0,61,0.6930473446846008
11,4N-kSXoV9PQ,18,0,17,294.0,22.0,479.0,220.0,71,0.40698838233947754
12,4N-kSXoV9PQ,18,0,18,194.0,64.0,480.0,231.0,71,0.4678112864494324
13,4N-kSXoV9PQ,18,0,19,207.0,206.0,480.0,359.0,71,0.4560568928718567
14,4N-kSXoV9PQ,18,1,3,305.0,240.0,339.0,316.0,61,0.629759669303894
15,4N-kSXoV9PQ,18,1,4,309.0,159.0,346.0,262.0,61,0.7478691339492798
16,4N-kSXoV9PQ,18,1,7,81.0,321.0,158.0,355.0,71,0.5715030431747437
17,4N-kSXoV9PQ,18,1,9,66.0,308.0,180.0,356.0,71,0.44800305366516113
18,4N-kSXoV9PQ,18,1,9,52.0,273.0,257.0,358.0,71,0.4027741849422455
19,4N-kSXoV9PQ,18,1,11,87.0,136.0,217.0,183.0,71,0.43706685304641724
20,4N-kSXoV9PQ,18,1,12,370.0,38.0,479.0,332.0,61,0.6953861117362976
21,4N-kSXoV9PQ,18,1,12,1.0,31.0,151.0,164.0,71,0.47330695390701294
22,4N-kSXoV9PQ,18,1,13,269.0,8.0,466.0,295.0,61,0.556349515914917
23,4N-kSXoV9PQ,18,1,13,269.0,126.0,414.0,290.0,61,0.5281805396080017
24,4N-kSXoV9PQ,18,1,14,251.0,164.0,444.0,356.0,61,0.6894810795783997
25,4N-kSXoV9PQ,18,1,14,256.0,280.0,405.0,355.0,61,0.4633934795856476
26,4N-kSXoV9PQ,18,1,20,342.0,221.0,408.0,359.0,56,0.8181992173194885
27,4N-kSXoV9PQ,18,1,20,224.0,63.0,282.0,95.0,58,0.5051060914993286
28,4N-kSXoV9PQ,18,1,21,226.0,49.0,294.0,90.0,58,0.5402172803878784
