,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4PJyiOZ1iWI,14,0,3,223.0,44.0,338.0,301.0,0,0.8647971153259277
1,4PJyiOZ1iWI,14,0,3,282.0,283.0,389.0,339.0,36,0.8556100726127625
2,4PJyiOZ1iWI,14,0,4,298.0,283.0,402.0,344.0,36,0.8828225135803223
3,4PJyiOZ1iWI,14,0,4,236.0,55.0,351.0,310.0,0,0.8225178718566895
4,4PJyiOZ1iWI,14,0,5,288.0,54.0,382.0,315.0,0,0.8299573659896851
5,4PJyiOZ1iWI,14,0,5,288.0,297.0,363.0,348.0,36,0.8109766840934753
6,4PJyiOZ1iWI,14,0,6,207.0,290.0,303.0,345.0,36,0.8857277035713196
7,4PJyiOZ1iWI,14,0,6,221.0,60.0,315.0,316.0,0,0.8551611304283142
8,4PJyiOZ1iWI,14,0,7,241.0,293.0,295.0,347.0,36,0.7896328568458557
9,4PJyiOZ1iWI,14,0,7,204.0,61.0,291.0,335.0,0,0.7730259895324707
10,4PJyiOZ1iWI,14,0,8,261.0,107.0,439.0,336.0,0,0.6733756065368652
11,4PJyiOZ1iWI,14,0,8,302.0,314.0,378.0,348.0,36,0.6641445755958557
12,4PJyiOZ1iWI,14,0,9,292.0,288.0,382.0,349.0,36,0.8160088062286377
13,4PJyiOZ1iWI,14,0,9,255.0,98.0,441.0,341.0,0,0.7639058828353882
14,4PJyiOZ1iWI,14,0,10,269.0,34.0,410.0,350.0,0,0.7674722075462341
15,4PJyiOZ1iWI,14,0,11,208.0,212.0,278.0,241.0,36,0.6885759234428406
16,4PJyiOZ1iWI,14,0,11,180.0,30.0,293.0,228.0,0,0.5407775640487671
17,4PJyiOZ1iWI,14,0,12,290.0,275.0,352.0,333.0,36,0.7918496131896973
18,4PJyiOZ1iWI,14,0,12,265.0,78.0,360.0,307.0,0,0.7353009581565857
19,4PJyiOZ1iWI,14,0,13,293.0,292.0,354.0,346.0,36,0.8409465551376343
20,4PJyiOZ1iWI,14,0,13,256.0,76.0,352.0,329.0,0,0.8032180070877075
21,4PJyiOZ1iWI,14,0,15,349.0,282.0,480.0,325.0,36,0.6911774277687073
22,4PJyiOZ1iWI,14,0,15,157.0,81.0,398.0,311.0,0,0.6019078493118286
23,4PJyiOZ1iWI,14,0,16,327.0,284.0,390.0,352.0,36,0.767611563205719
24,4PJyiOZ1iWI,14,0,16,259.0,37.0,443.0,321.0,0,0.719477117061615
25,4PJyiOZ1iWI,14,0,17,299.0,286.0,408.0,348.0,36,0.8105722665786743
26,4PJyiOZ1iWI,14,0,17,271.0,77.0,432.0,272.0,0,0.7474928498268127
27,4PJyiOZ1iWI,14,0,18,289.0,285.0,401.0,350.0,36,0.8789162635803223
28,4PJyiOZ1iWI,14,0,18,228.0,75.0,415.0,243.0,0,0.4979896545410156
