,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4QUtHPqEGSA,10,0,1,199.0,152.0,324.0,281.0,17,0.8977683782577515
1,4QUtHPqEGSA,10,0,2,199.0,152.0,323.0,281.0,17,0.741584300994873
2,4QUtHPqEGSA,10,0,3,230.0,116.0,353.0,279.0,17,0.8824138641357422
3,4QUtHPqEGSA,10,0,4,322.0,160.0,356.0,206.0,19,0.4085613787174225
4,4QUtHPqEGSA,10,0,6,409.0,125.0,438.0,165.0,19,0.7378736138343811
5,4QUtHPqEGSA,10,0,6,48.0,156.0,178.0,242.0,14,0.5556804537773132
6,4QUtHPqEGSA,10,0,7,282.0,185.0,324.0,241.0,19,0.8374967575073242
7,4QUtHPqEGSA,10,0,8,224.0,184.0,298.0,258.0,19,0.7028636336326599
8,4QUtHPqEGSA,10,0,8,225.0,183.0,297.0,258.0,17,0.573192834854126
9,4QUtHPqEGSA,10,0,9,361.0,161.0,431.0,212.0,19,0.7133275270462036
10,4QUtHPqEGSA,10,0,10,282.0,158.0,382.0,219.0,19,0.7216378450393677
11,4QUtHPqEGSA,10,0,11,233.0,152.0,361.0,227.0,17,0.808083713054657
12,4QUtHPqEGSA,10,0,12,228.0,114.0,393.0,232.0,17,0.8852537870407104
13,4QUtHPqEGSA,10,0,13,172.0,123.0,378.0,263.0,17,0.9112228751182556
14,4QUtHPqEGSA,10,0,21,6.0,4.0,474.0,354.0,0,0.6489621996879578
15,4QUtHPqEGSA,10,0,22,10.0,9.0,405.0,360.0,0,0.7500435709953308
