,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4RRgEZp_OZs,10,0,1,30.0,77.0,81.0,259.0,0,0.802238404750824
1,4RRgEZp_OZs,10,0,1,223.0,121.0,323.0,221.0,17,0.7940839529037476
2,4RRgEZp_OZs,10,0,1,174.0,121.0,270.0,229.0,17,0.6041220426559448
3,4RRgEZp_OZs,10,0,1,317.0,131.0,395.0,221.0,17,0.5561656355857849
4,4RRgEZp_OZs,10,0,1,117.0,118.0,208.0,229.0,20,0.4532661736011505
5,4RRgEZp_OZs,10,0,2,29.0,77.0,81.0,260.0,0,0.814535915851593
6,4RRgEZp_OZs,10,0,2,115.0,117.0,209.0,229.0,20,0.6335357427597046
7,4RRgEZp_OZs,10,0,2,225.0,122.0,324.0,221.0,17,0.6328604221343994
8,4RRgEZp_OZs,10,0,2,317.0,132.0,393.0,218.0,17,0.42082977294921875
9,4RRgEZp_OZs,10,0,3,199.0,119.0,303.0,221.0,17,0.7510462999343872
10,4RRgEZp_OZs,10,0,3,20.0,76.0,75.0,255.0,0,0.6636650562286377
11,4RRgEZp_OZs,10,0,3,390.0,122.0,475.0,220.0,20,0.6387115716934204
12,4RRgEZp_OZs,10,0,3,290.0,131.0,369.0,218.0,20,0.48878204822540283
13,4RRgEZp_OZs,10,0,4,19.0,90.0,91.0,262.0,0,0.765754222869873
14,4RRgEZp_OZs,10,0,4,65.0,91.0,156.0,235.0,0,0.6343966722488403
15,4RRgEZp_OZs,10,0,4,196.0,119.0,296.0,230.0,17,0.4855499565601349
16,4RRgEZp_OZs,10,0,4,379.0,140.0,454.0,224.0,17,0.4407877027988434
17,4RRgEZp_OZs,10,0,5,77.0,91.0,179.0,276.0,0,0.882585346698761
18,4RRgEZp_OZs,10,0,5,185.0,122.0,278.0,232.0,20,0.7367030382156372
19,4RRgEZp_OZs,10,0,5,346.0,134.0,426.0,226.0,17,0.5663700103759766
20,4RRgEZp_OZs,10,0,5,62.0,116.0,96.0,205.0,0,0.5563341975212097
21,4RRgEZp_OZs,10,0,5,256.0,141.0,336.0,228.0,20,0.525468647480011
22,4RRgEZp_OZs,10,0,5,310.0,135.0,387.0,223.0,17,0.4435504674911499
23,4RRgEZp_OZs,10,0,6,148.0,85.0,237.0,290.0,0,0.8147521018981934
24,4RRgEZp_OZs,10,0,6,297.0,142.0,383.0,231.0,20,0.7076811790466309
25,4RRgEZp_OZs,10,0,6,440.0,117.0,463.0,149.0,0,0.522110641002655
26,4RRgEZp_OZs,10,0,6,97.0,128.0,159.0,247.0,0,0.4771270453929901
27,4RRgEZp_OZs,10,0,6,406.0,125.0,430.0,153.0,0,0.40485498309135437
28,4RRgEZp_OZs,10,0,7,233.0,84.0,363.0,296.0,0,0.8181102275848389
29,4RRgEZp_OZs,10,0,7,112.0,139.0,204.0,243.0,17,0.8015550374984741
30,4RRgEZp_OZs,10,0,7,402.0,122.0,427.0,152.0,0,0.5862021446228027
31,4RRgEZp_OZs,10,0,7,434.0,116.0,458.0,149.0,0,0.507350504398346
32,4RRgEZp_OZs,10,0,8,235.0,84.0,430.0,316.0,0,0.9087893962860107
33,4RRgEZp_OZs,10,0,8,133.0,220.0,183.0,249.0,2,0.6425418257713318
34,4RRgEZp_OZs,10,0,9,294.0,87.0,386.0,307.0,0,0.8450101017951965
35,4RRgEZp_OZs,10,0,10,231.0,80.0,414.0,235.0,0,0.8841227889060974
36,4RRgEZp_OZs,10,0,10,190.0,116.0,214.0,147.0,0,0.4482024908065796
37,4RRgEZp_OZs,10,0,11,184.0,73.0,310.0,286.0,0,0.9165656566619873
